Date,Description,Amount,Balance,Category,Account
2024-01-15,"STARBUCKS STORE #1234","-4.95","1250.30","","Checking"
2024-01-15,"STARBUCKS STORE #3542","-22.99","1250.30","","Checking"
2024-01-15,"PAYROLL DEPOSIT COMPANY ABC","2500.00","2755.25","","Checking"
2024-01-16,"AMAZON.COM PURCHASE","-89.99","2665.26","","Checking"
2024-01-16,"ATM WITHDRAWAL FEE","-3.00","2662.26","","Checking"
2024-01-17,"GROCERY STORE CHAIN","-127.43","2534.83","","Checking"
2024-01-17,"UBER RIDE 01/17","-15.20","2519.63","","Checking"
2024-01-18,"MORTGAGE PAYMENT AUTO","-1850.00","669.63","","Checking"
2024-01-18,"ELECTRIC BILL AUTOPAY","-125.67","543.96","","Checking"
2024-01-19,"RESTAURANT DOWNTOWN","-67.89","476.07","","Checking"
2024-01-19,"GAS STATION FILLUP","-45.20","430.87","","Checking"
2024-01-20,"FREELANCE PAYMENT DEP","750.00","1180.87","","Checking"
2024-01-20,"NETFLIX SUBSCRIPTION","-15.99","1164.88","","Checking"
2024-01-21,"PHARMACY COPAY","-10.00","1154.88","","Checking"
2024-01-21,"TARGET STORE #5678","-78.34","1076.54","","Checking"
2024-01-22,"INTEREST EARNED","0.85","1077.39","","Checking"
